昵称,地区,时间,评论
“轻狂灬,安徽,2024-07-22 21:22:38,已经换了看他买不买[微笑]
奥利奥吃饱了,北京,2024-07-22 14:23:35,车挺帅的，在我家地库看见一辆[看]
熊二爱吃火锅,浙江,2024-07-22 14:30:24,爸
ido鸭,河南,2024-07-23 12:55:33,学费了，雷总
🎈不一样的烟火✨,山东,2024-07-22 14:05:58,确实过瘾，飘了一下，大几千没有了[机智]
J、x,云南,2024-07-22 12:26:53,跟雷总分享一下 保存20年了
快意逍遥,四川,2024-07-22 13:59:49,祝雷总年入千万[舔屏]
主打一个不听劝,湖北,2024-07-22 15:21:44,让我玩玩呗[耶][耶][耶]
@雾失楼台,陕西,2024-07-22 23:06:31,雷冖：你的车我开走了[九转大肠][九转大肠][九转大肠]
👾,河南,2024-07-22 15:56:11,雷总 如果您用这张照片当头像 您就给我买辆小米su7
一只琪琪兔,河南,2024-07-22 12:51:04,爸，注意安全
🌈安天天🌈,福建,2024-07-22 18:33:09,刚在路上看到一台小米su7，这一款是什么颜色呀
坡区流泪建萍,重庆,2024-07-22 18:51:53,18岁，拿下小米su7，不靠家里给，不靠自己挣，只靠自己脸皮厚硬要拍一张[流泪]
广州制冰机,广东,2024-07-22 17:59:16,哥接我回家吧！在外面好苦
陈伟霆.,广东,2024-07-22 15:45:35,雷总，什么时候出这个啊
不懂男人心.,四川,2024-07-22 14:50:42,若干年以后的小米[送心]
白菜咋卖的,广东,2024-07-22 14:21:35,雷总，什么时候上映
干饭人,广东,2024-07-22 19:05:50,雷总，啥时候搞这个项目[看]
五月小老虎🐯,湖北,2024-07-22 12:54:53,雷爸爸[比心][比心]
小李木子,陕西,2024-07-22 13:37:34,爸
总有刁民想谋害朕,湖北,2024-07-22 15:14:39,祝雷总年入百万[流泪]
莹莹大妹子,广西,2024-07-22 23:03:52,能不能这样开[不失礼貌的微笑][不失礼貌的微笑][不失礼貌的微笑][不失礼貌的微笑][不失礼貌的微笑]
莫愁,北京,2024-07-22 14:32:44,雷总可以了，也是接上赞助了。
舒庆春－湖人队一号位（去过大明湖版）,江苏,2024-07-22 21:43:08,雷军也是好起来了，也是接到小米的广告了[捂脸][OK]
特约评论员（总台）,上海,2024-07-22 19:31:20,军儿，电车哪里来的油门[看]
── 展开 999条回复 ⌵,美国,2024-07-24 13:28:08,我想知道一楼下单没[看]
oo5,河南,2024-07-22 12:28:25,《飞驰人生3》----主演：雷军[舔屏][舔屏]
稼偉茶空间,云南,2024-07-22 13:41:41,刚才是6.9w，告诉我现在多少w了[泣不成声]
我吃饭的时候不饿☆,海南,2024-07-22 17:36:14,@苦呱大王 @藏匿于夕阳 @被迫改个。 漂移学会了，SU7从哪里领？
我嘞个豆,山东,2024-08-20 22:24:31,女孩子开那个颜色好看，感觉都好看，不能每一辆都买吧[捂脸]
真睡了,广东,2024-07-22 15:40:40,军哥，如果你用这个做头像，就说明你同意送我一辆小米su7
🧡mi 小米心形Logo,江西,2024-07-31 12:13:58,爸
爱看混剪,安徽,2024-07-22 15:51:49,感谢小米公司给我一份食堂打饭的工作
大睡神,广东,2024-07-28 19:21:01,爸，接我回家吧。生活好苦[流泪][流泪][流泪]
小颖爱生活❤️,湖南,2024-07-22 18:46:23,哥，我也想玩漂移[抠鼻]
今麦郎速食旗舰店,河南,2024-07-27 20:17:31,雷总，我袋装板面上了！
Bleem617,辽宁,2024-07-22 23:45:05,答应朋友的事，就一定要做到
孤独的-Sun(太阳),上海,2024-07-22 14:40:43,雷总，用你教的方法我试了一下，怎么会是这样呢？[微笑][微笑]
雨,甘肃,2024-07-22 14:39:28,雷总求求了[流泪][OK]现在的卫生巾价格真的太贵了
等你回复,贵州,2024-07-22 15:05:27,小米董事长长你好，我买了一个小米，米兔电话手表，因手表微信需要微信扫码，扫了以后，我选择了仅手表登录，过后手机就登不了微信，打电话售后，过20小时没能处理，真的很失望，我心里由衷的希望你们品牌越做越好。遇到一个小小的软件问题。没有人能及时处理，也不知道你能不能看到这小小的反馈，只希望你们越做越好。
Mr.Kong,江苏,2024-07-22 13:58:07,
谭恋爱吖,广东,2024-07-22 18:01:21,雷总，什么时候上映？期待啊！[看]
X﹏X,江苏,2024-07-22 13:21:22,雷总，我想要这个
歲～,广东,2024-07-22 15:38:53,雷总这个什么时候上市
🌈楚C啊！,广东,2024-07-22 13:38:19,雷总别飘了，红米用的有点卡了[泪奔]
三十斤的小白菜,上海,2024-07-27 05:35:58,小米小折专用壁纸[泣不成声]
折花枝作酒,广东,2024-07-23 22:39:25,"雷：卖一台车很难嘛？
销售：......"
比苦瓜苦🧿,四川,2024-07-22 14:35:47,祝雷总年入百万[捂脸]
家人们，谁懂啊,四川,2024-07-23 12:25:15,雷总，如果你用这张照片当头像，你就送我一辆同款
Perfect童,广东,2024-07-22 17:01:49,军，你换这个头像，我就买辆su7
菜菜的萌新,四川,2024-07-22 18:01:57,有没有懂空调的说一下小米这款空调适用于多大的房间，还有就是用起来怎样，准备入手
Κ.,河南,2024-07-23 12:26:06,感谢军子，好多年没用过小米了，前两天回坑买了K70至尊，账号同步找回了我尘封近十年的记忆
我社恐ᯅ̈,贵州,2024-07-22 12:58:31,雷叔叔，你怎么老给小米代言啊
捕蜂捉影,广西,2024-07-22 15:42:57,还是别玩的好，我朋友都漂这样了[尬笑]
🇨🇳茂茂🇱ⁱⁿ,广西,2024-07-22 15:49:11,雷总，这怎么搞，还真是一个帅气的起漂[流泪]
西柚xxx,河南,2024-07-22 18:45:24,雷总 车都造了 摩托车搞一搞不是问题吧[送心][送心][送心]
浪花一朵朵,北京,2024-07-22 13:55:20,雷总跟网友走，听从网友的话，头像换置完毕[赞]
Freedom.,湖北,2024-07-22 13:37:00,爸
小伍故事会,福建,2024-07-23 08:19:43,祝雷总年入百万[比心][比心][比心]
Ire,广东,2024-07-22 12:36:01,小米口袋打印机能不能出几种外壳不同颜色的[流泪]或者有没有壳子卖[流泪][流泪]想和身边的朋友出去玩不同颜色的一起用
果果分享日记,福建,2024-07-22 16:56:15,雷总，什么时候上映
冷夜雨,广东,2024-07-22 12:30:27,"飞驰人生3
主演：雷军[赞][赞][赞]"
烟思呤,河南,2024-07-22 13:28:42,求[比心]
好名都让猪取了,四川,2024-07-22 18:44:52,都闪开，我要上图了[九转大肠]
SuperMᯤ ⁷ᴳ⁺,浙江,2024-07-22 21:57:26,爸，早点休息，多吃黑芝麻，你这开始秃了，要不咱家出款养发洗发水吧[思考]
寒江·孤影,广东,2024-07-22 23:17:05,我想问一下，车提了没有？没提不要紧，定金交了没？
@有缘v有份,四川,2024-07-22 13:44:18,雷总帮我看一下这个怎么才漂移得起来，交警会管不
黄玉兰,湖北,2024-07-22 13:49:46,雷总要不把这个照片当头像吧我觉得挺帅的[流泪]治好了都是流口水的[泣不成声][泣不成声]
雲景華,广东,2024-08-20 18:50:51,这不更有氛围感[看]
老秦盘老机,山东,2024-07-22 19:48:19,问了100个人，都不知道这是什么？[捂脸]
oooo,新疆,2024-07-22 15:25:14,军儿，如果你用这个做头像，就给我买一辆小米su7
胡译文,天津,2024-07-22 12:28:53,爸
合而为椅工厂店,广东,2024-07-22 19:08:03,雷总为什么按照你的示范操作，我四脚朝天了[流泪][流泪][流泪]
一二三四五,广东,2024-07-22 15:28:52,换这个当头像的话！我就买一辆[捂脸]
AAA龙头企业湖北土鸡蛋批发老张,广西,2024-07-22 12:44:22,军，你看我家空调加4个轮子能漂吗
流月、星宿,广东,2024-07-24 16:46:58,新电影来了[玫瑰][玫瑰]
"Yun""",广东,2024-07-22 13:48:19,爸爸！下午好！
收敛水.,上海,2024-07-22 18:02:42,今天敢造车，明天就敢造飞机！[绿帽子]
王大愿,上海,2024-07-23 13:21:14,弟，衣服不赖，给我弄一身呗
蓝天.,浙江,2024-07-22 16:25:50,雷冖，你的车，我帮你开走了[看]不用谢
亖浪淘沙亖,广东,2024-07-22 17:47:00,被录取了[耶]
🌈 Pursue,山东,2024-07-22 15:14:39,爸爸，一定要注意安全，我还等着你给你好大儿送车呢[看]
空山新雨丶,宁夏,2024-07-22 12:52:29,雷总，适配下比亚迪的手环手表钥匙吧，就小米不能用了[流泪][流泪][流泪][流泪][流泪]
闻人,安徽,2024-07-22 14:36:45,雷总的头发终究扛不过时间[流泪]
还是那句话有本事抽我（瓦82-85折赠送,重庆,2024-07-22 21:57:07,不是雷总，你真会啊[微笑][逞强落泪]
GT67,广西,2024-07-22 17:52:51,雷总有考虑嘛[看]
南风知我意-/,甘肃,2024-07-22 15:25:37,祝雷总年入百万
不吐不快,江苏,2024-07-24 14:47:50,小米造个学习桌吧，学习桌也贵
LYY是我的宝贝女票,广东,2024-07-22 14:26:14,雷总啥时候上映[不失礼貌的微笑]
阿杰1996,浙江,2024-07-22 13:03:12,雷总，该交生活费了[捂脸][捂脸][捂脸]
下雨天的纸飞机,重庆,2024-07-22 17:17:40,小米汽车的核心技术是什么？
费嘉洛,河北,2024-07-22 19:40:15,雷总，如果你用这个照片当头像，你就给我买一辆小米su7[飞吻]
viper,广西,2024-07-22 12:36:05,雷总，桂林高一期末地理考试考了小米su7[舔屏][舔屏][舔屏]
珍珍爱爆爆,广东,2024-07-22 15:00:09,雷总，什么时候上映
小杨.,浙江,2024-07-22 17:01:36,雷总，听说你没有儿子，不嫌弃的话我想给您养老
吃好喝好💕💕,广东,2024-07-22 23:18:37,"论雷总的格局
一个几百粉丝让他换头像他居然换了[赞][赞]"
戴言人,广东,2024-07-22 20:06:23,雷总，如果你用这个照片当头像，小米项目我王多鱼投了[OK]
biubiu大魔王😈,山东,2024-08-04 12:27:11,学会了 什么时候能提车？[微笑]
镇平张林麻椒鸡卤甲鱼@李震,河南,2024-07-22 16:08:40,雷叔，期待它横空出世
吃货的零食,北京,2024-07-22 14:20:43,军，是这样轻打方向盘对吗？
ZH.,河北,2024-07-22 14:27:56,不知道这42万金币能不能买两辆
长沙县静赛通讯,湖南,2024-07-22 20:31:03,给雷总看个检测单，小米14，7月10号激活，感觉信号有问题，去售后检测，售后说机器无故障，方案是更换新机可退回来的是原手机，并说手机有信号故障信号差，格数少……我怀疑手机是不是售后的检测单，于是给售后打电话，售后给出的回复是手机 在专业的设备检测了(用手操作1分钟)？就能确定手机没有问题，？检测的售后单据开错了。不认账
风风雨雨,浙江,2024-07-22 12:25:01,雷总要不把这个照片当头像吧我觉得挺帅的[流泪]
Open,浙江,2024-07-22 14:36:35,军哥也是听劝，接上赞助了
人间小臻猪,广东,2024-07-22 22:08:48,下午刚拍的 在我们这破路我不敢漂[流泪]
可我独恋她.,河南,2024-07-22 14:29:37,你们来晚了，我和雷子已经有孩子了[送心]
飞飞充电笔记,山东,2024-07-22 12:07:05,雷总去参演飞驰人生3吧[捂脸] 就叫雷军出击[爱心]
安 心,广东,2024-07-22 14:02:44,学聪明了，知道拉赞助打广告了[赞][赞][赞]
橘子茶,四川,2024-07-24 22:21:08,某些人，还没有雷总回信息快
敬尧,云南,2024-07-22 23:26:49,雷总啊，如果你用这张照片做头像，就给我买一辆小米su7
司家大少爷,河南,2024-07-22 19:58:41,"1.雷总您好，刚刚关注您
2.雷总，我希望您进军女性卫生巾，想要放心平价的液体卫生巾[流泪]"
单别,山西,2024-07-22 12:33:35,雷总能不能进军卫生巾，现在卫生巾真的好多没有保障[流泪]
🇪🇸西班牙李杰菲,西班牙,2024-07-22 17:25:10,军哥 换这个头像吧，我回国就买一辆[干饭人]
Coco@,江苏,2024-07-22 22:28:58,爸，您注意安全啊[阴险]
檩蘑蘑,湖南,2024-07-22 17:54:15,能不能造一个小米巨能吸的卫生巾啊[流泪][流泪][流泪][流泪]
小胖我饿了,广东,2024-07-22 12:07:55,冷知识：su7代表雷总大学宿舍7个人
红鲤鱼予绿鲤鱼,福建,2024-07-22 23:37:25,雷总，建议投资飞驰人生3，沈腾当代言人[看]
我要扛着恐龙跑,云南,2024-07-22 16:53:52,为什么我的跟你的不一样啊？[泪奔]
向光而行,河南,2024-07-31 10:58:54,我23年12月31号在小米有品购买的三台云米空调，24年7月23号坏了一个，售后服务人员到家里维修说质量问题，需要换机，从工作人员走了之后让等电话，6天没有任何消息，是换还是修，没有电话，我多次打400和小米有品平台电话一直得不到解决！这难道是我深爱的小米吗？伤透了@雷军
ManRed,海南,2024-07-22 13:50:25,爸
狗子,河南,2024-07-22 15:10:25,什么情况啊？  雷总
阿弱,安徽,2024-07-22 16:51:01,那年买彩票遇到的
总有人，还记得你,贵州,2024-07-22 18:08:47,雷总为啥温度一高我相机就打不开啊[流泪]，我干工地的，需要拍照记录
虹虹火火,河南,2024-07-22 22:32:45,雷总，什么时候上映
深藏-blue,广东,2024-08-20 22:38:12,雷总 你敢教我不敢飘哇[泣不成声]
雪豹,广东,2024-07-22 14:16:34,[捂脸][OK]
戴言人,广东,2024-07-22 20:13:24,雷，如果你用这个照片当头像，车上的空调交给姐就行[OK]
爱吃猫的鱼儿,广东,2024-07-22 12:07:49,雷总要不把这个照片当头像吧我觉得挺帅的[流泪]
279,辽宁,2024-07-22 18:14:53,用一台小米6，添个二百块钱，能置换一台su7不[快哭了]
白米粥,广东,2024-07-22 17:19:16,雷军 如果你用这个照片当头像，哥就买一辆小米su7[调皮]
XLX,青海,2024-07-22 17:52:29,[白眼]
呀吼,湖北,2024-07-22 18:34:34,雷总！！！！能不能出一个小米卫生巾！求求了，现在的都好贵[流泪]
杺多,上海,2024-07-22 20:06:55,雷总您好，我个人建议，咱们中国人都喜欢赢，小米su7感觉同音字输，读起来输7。建议下一辆车名字叫 小米ying8 赢8。这不是迷信，是古人留下的传统美德和美好寓意。[比心][比心]
旧梦灬明,江苏,2024-07-22 13:55:44,雷总，周五晚上抢到的小米车模，隔天收到货后，发现后尾灯有破损，你们售后客服不给换新，难道这个需要我们来承担吗💔
未来D计划,山东,2024-07-22 18:16:06,军儿，中国的马斯克！请您用科技改变中国百姓生活！
麦芽糖,广东,2024-07-23 15:44:49,雷总，小米空调很凉快，也很漂亮，我很喜欢[尬笑]但是遥控器太难用了。特别是风速调整这一块。能不能优化一下。我来买一个。米家APP不习惯使用[微笑]
青野(修心版),江苏,2024-07-22 18:52:07,雷总这么大的企业家还接小米这种平价公司的广告，真亲民[比心]
金小棱,黑龙江,2024-07-26 17:00:29,雷总，哈工程第一台SU7，我老公是您的超级粉丝，祝愿小米越来越好[比心]
事事楠.,广东,2024-07-23 01:09:00,看看这玩意[尬笑]
玩车大队长,湖南,2024-07-22 22:28:10,雷总您好，您造车就好好造车嘛，还研究上漂移了？关键也不好使呀
用户45130577,广东,2024-07-23 20:05:51,曾经为小米付出一点点[比心]
VancL•抖音小店,河南,2024-07-22 12:28:28,雷总要不把这个照片当头像吧我觉得挺帅的[爱心]
@阿青就是玩,山东,2024-07-22 22:34:53,雷爸主打就是听劝，真把头像换了[捂脸]
小七爱吃鱼,广西,2024-07-22 22:55:16,雷总你太努力了
夜来听雨声,贵州,2024-07-22 19:34:49,这位兄弟买了没？[看][看][看]
皮卡丘,广东,2024-07-22 13:55:29,不懂就问，这种码数相对整体来说会暂比会大概多少
熬迪挨拔兴狗裂,吉林,2024-08-20 20:16:04,我们漂移完也会有工作人员给我们换新轮胎吗？
最美车模后院,辽宁,2024-07-22 19:13:58,真用这个头像了[捂脸]
淮织,上海,2024-07-22 17:30:50,分享给我朋友了，她让我跟你说一声 赶紧去捞她[捂脸]
勇哥-运营魔帝,广东,2024-07-23 15:23:03,军儿，如果你用这个照片当头像，我就买一辆小米su7[OK]
蔷薇,河北,2024-07-22 15:08:30,换这个头像吧，我就买一辆
Lkl,湖南,2024-07-22 13:51:59,我老爸要是有这一半孝顺就好了[流泪][流泪][流泪]
阿雨要早睡,安徽,2024-07-23 01:03:57,感谢雷总让我有了对象
PrimeFeng,四川,2024-07-22 22:28:56,雷总，那我就献丑了。[看]
